BU,Customer,RAC,Prism,PlanRevenue,Quarter,PlanCost
ANZ,Assa Abloy ANZ,ASSA ABLOY Australia Pty Ltd,Assa Abloy ANZ,0.5,Q1,0.265379102
US HLS,AstraZeneca,AstraZeneca,AstraZeneca,0,Q1,0
US HLS,Audax Management Company LLC,Audax Management Company LLC,Audax Management Company LLC,0,Q1,0
ANZ,Ausfine,Ausfine,Ausfine,0,Q1,0
ANZ,Ausreo Pty Ltd,Ausreo Pty Ltd,Ausreo,0.044031604,Q1,0.02944
ANZ,Australian Pharmaceutical Industries Pty Ltd,Australian Pharmaceutical Industries Pty Ltd,Wesfarers Health,0.095720878,Q1,0.038862626
US RMD,AWS,AWS,AWS,0,Q1,0
US HLS,"Azurity Pharmaceuticals, Inc.","Azurity Pharmaceuticals, Inc.","Azurity Pharmaceuticals, Inc.",0,Q1,0
UK IRELAND,Bayer,Bayer U.S. LLC,Bayer,0.3,Q1,0.169052422
ANZ,Beaumont,Beaumont,0,0,Q1,0
US RMD,Ben Bridge,Ben Bridge,BenBridge,0.15,Q1,0.05295099
UK IRELAND,Berry Global,RPC Group Limited,Berry Global,0.357724659,Q1,0.170317867
US HLS,"Biomatrix Specialty Pharmacy, LLC","Biomatrix Specialty Pharmacy, LLC",Biomatrix,0.035,Q1,0.033154678
US TMTE,Blackjewel,Blackjewel,Blackjewel,0,Q1,0
ANZ,Bluechip International ,Bluechip International ,Bluechip International ,0.009572088,Q1,0.006315177
EU,Blueleaf Energy,Blueleaf Energy Private Ltd,Blueleaf Energy,0.081042714,Q1,0.052798591
US RMD,Bluestem Brands,Bluestem,Bluestem Brands,3.3,Q1,1.873459613
ANZ,BUS QLD,Westside Bus Co Pty Ltd,BUS QLD,0.201,Q1,0.10452
US RMD,Cajun Operating Company,Cajun Operating Company,Cajun,0.135,Q1,0.041971636
US HLS,Caravel Autism Health,Caravel Autism Health LLC,Caravel Autism Health,0.074,Q1,0.061686975
UK IRELAND,Carbery Food Ingredients ,Carbery Food Ingredients ,Carbery Food Ingredients ,0,Q1,0
ANZ,Cardtronics Australasia Pty Ltd,Cardtronics Australasia Pty Ltd,Cardtronics Helpdesk,0.000957209,Q1,0.0005
UK IRELAND,Carpet Right,Carpet Right,Carpet Right,0,Q1,0
US BFSI,Carshield,Carshield,Carshield,0,Q1,0
ANZ,Castlegate James Australasia Pty Ltd,Castlegate James Australasia Pty Ltd,Castlegate James,0.028716264,Q1,0.021
UK IRELAND,CBRE Group,CBRE Group,CBRE Group,0,Q1,0
ANZ,Centor Australia Pty Ltd,Centor Australia Pty Ltd,Centor ,0,Q1,0
US TMTE,CEPC,CEPC,CEPC,0,Q1,0
ANZ,Cheetham Salt,CHEETHAM SALT LIMITED,Cheetham Salt,0.469032304,Q1,0.294
ANZ,Chemist Warehouse,Chemist Warehouse Retail Services Pty Ltd,Chemist Warehouse,0,Q1,0
US RMD,Cherry America,Cherry America Ltd.,Cherry America,0.005,Q1,0.001943131
US TMTE,Chevron,Chevron,Chevron,0,Q1,0
US RMD,Christian Dior Perfumes LLC,Christian Dior Perfumes LLC,Christian Dior,0,Q1,0
US TMTE,Cloud 3 Technologies,"Cloud 3 Technologies, LLC.",Cloud 3 Technologies,0.03,Q1,0.012241727
US TMTE,CloudLex Inc.,CloudLex Inc.,CloudLex,0.025,Q1,0.004857828
US RMD,CMC,CMC Group Inc.,CMC,0.45,Q1,0.118483408
ANZ,Cogstate,Cogstate,Cogstate,0,Q1,0
APAC,Collabera Technologies Private Limited,EYGBS (India) LLP,EYGBS,0,Q1,0
UK IRELAND,Computacenter India,Computacenter India Private Limited,Computacenter India,0.055547792,Q1,0.036107121
UK IRELAND,Computacenter UK,Computacenter (UK) Limited XV,Computacenter UK,1.014915961,Q1,0.386827396
US TMTE,Consumers Energy Company,Consumers Energy Company,Consumers Energy Company,0,Q1,0
ANZ,Cooldrive,Cooldrive,Cooldrive,0,Q1,0
US TMTE,Cornerstone on Demand,"Cornerstone on Demand, Inc.",Cornerstone on Demand,0.3,Q1,0.166137725
US HLS,Correct Care Solutions,Wellpath LLC,Correct Care Solutions,2.01,Q1,1.070551827
US RMD,Coyuchi Inc,Coyuchi Inc,Coyuchi,0.0125,Q1,0.004857828
UK IRELAND,CPL Aromas,CPL Aromas Limited,CPL Aromas,0.715449318,Q1,0.340047976
US HLS,CPS Solutions,CPS Solutions LLC,CPS Solutions,1.34,Q1,0.9368329
US HLS,CSL Behring,CSL Behring,CSL Behring,0.03,Q1,0.01193118
APAC,D&L Industries Inc.,D&L Industries Inc.,D&L Industries Inc.,0,Q1,0
ANZ,Daltron,Daltron (Carpenters Retail & Property Ltd.),Daltron,0.014358132,Q1,0.008194268
EU,Danish Agro,Danish Agro a.m.b.a.,Danish Agro,0.13,Q1,0.038029415
ANZ,Deaf Services Queensland,Deaf Services Queensland,Deaf Services Queensland,0.026801846,Q1,0.018148249
APAC,Dell - India,0,Dell - India,0,Q1,0
US TMTE,Dell International Services India Pvt Ltd,Dell International Services India Pvt Ltd,Dell International Services India Pvt Ltd,0.058292233,Q1,0.032061666
US RMD,Dentsu,Dentsu,Dentsu,0.009715372,Q1,0.004857828
EU,Deutsche Telekom,Deutsche Telekom IT GmbH,Deutsche Telekom,0.203578864,Q1,0.087635221
APAC,Diligenta,Diligenta,Diligenta,0,Q1,0
US HLS,DMI,DMI,DMI,0,Q1,0
UK IRELAND,Dominos Pizza,Domino’s Pizza,Dominos Pizza,0.718924358,Q1,0.205019782
APAC,Dr. Lal PathLabs,Dr. Lal PathLabs,Dr. Lal PathLabs,0,Q1,0
ANZ,DRA Shared Services Australia PTY Ltd,DRA Shared Services Australia PTY Ltd,DRA Shared Services Australia PTY Ltd,0,Q1,0
APAC,DTDC Express,DTDC Express,DTDC Express,0,Q1,0
US TMTE,Ducks Unlimited,Ducks Unlimited,Ducks Unlimited,0,Q1,0
ANZ,Dynamicfit Pty Ltd,Dynamicfit Pty Ltd,Dynamic Fit Alliance Automation,0.002871626,Q1,0.0015
US TMTE,Edge Technologies,Edge Technologies,Edge Technologies,0,Q1,0
US TMTE,Edison Energy,Edison Energy,Edison Energy,0,Q1,0
ANZ,Education Services Australia Pty Ltd.,Education Services Australia Pty Ltd.,Education Services Australia Pty Ltd.,0,Q1,0
US TMTE,Effective School Solutions,Effective School Solutions,Effective School Solutions,0,Q1,0
UK IRELAND,Eircom Limited,Eircom Limited,Eircom Limited,0,Q1,0
APAC,Electrosteel Castings,Electrosteel Castings,Electrosteel Castings,0,Q1,0
US HLS,Elevance health,"Elevance Health, Inc",Elevance health,0.2,Q1,0.103567964
US HLS,Elevate,Elevate Patient Financial Solutions,Elevate,0,Q1,0
ANZ,Endeavor Group/ Woolworths,Endeavor Group/ Woolworths,Endeavour Group Limited,0,Q1,0
US TMTE,Enovix,Enovix Corporation,Enovix,0,Q1,0
US TMTE,Epicor,Epicor Software Corporation,Epicor,0.607957627,Q1,0.324868909
APAC,Essilor India,Essilor India,Essilor India,0,Q1,0
UK IRELAND,Etrawler Unlimited Company_SSIL-D002,Etrawler Unlimited Company_SSIL-D002,ETrawler,0.057597922,Q1,0.028179596
US TMTE,Expanse Electrical Company LLC,Expanse Electrical Company LLC,Expanse Electrical Company,0.0114,Q1,0.002345638
UK IRELAND,EYGBS (India) LLP,Collabera Technologies Private Limited,EYGBS,0.228311248,Q1,0.148406652
US BFSI,Federated Hermes,Federated Hermes,Federated Hermes,0,Q1,0
UK IRELAND,Finlays,Finlay Extracts and Ingredients USA Inc.,Finlays,0.048048,Q1,0.024024
US HLS,FJA-US Inc.,FJA-US Inc.,FJA,0.075,Q1,0.034247689
ANZ,FLETCHER INTERNATIONAL EXPORTS PTY LTD,FLETCHER INTERNATIONAL EXPORTS PTY LTD,Fletcher,0.01196511,Q1,0.006867782
US RMD,Fountain Tire,Fountain Tire Limited,Fountain Tire,0.125,Q1,0.099286365
US HLS,Frazier Healthcare Partners,Frazier Healthcare Partners,Frazier Healthcare Partners,0.013,Q1,0.008583782
US RMD,FUJIFILM Business Innovation (US),FUJIFILM BI International Operations Corp,FUJIFILM Business Innovation (US),0.02,Q1,0.005719036
US BFSI,Genesis Capital,Genesis Capital LLC,Genesis Capital,0.15,Q1,0.051801955
US HLS,Gilead Life Sciences,Gilead Life Sciences,Gilead Life Sciences,0,Q1,0
UK IRELAND,Global Cloud Xchange,GCX Global Limited,Global Cloud Xchange,0.748,Q1,0.327388797
US BFSI,Global Holdings LLC,Global Holdings LLC,Global Holdings LLC,0.66,Q1,0.463934953
GPO,GPO,GPO,GPO,0,Q1,0
GPO,GPO Revenue,GPO Revenue,GPO Revenue,0,Q1,0
ANZ,Grange Resources (Tasmania) Pty Ltd,Grange Resources (Tasmania) Pty Ltd,Grange Resources ,0.004786044,Q1,0.0025
US TMTE,Green Mountain,"Green Mountain Technology, LLC",Green Mountain,1.1,Q1,0.589189179
US TMTE,Golden Spread Electric Cooperative,GSEC,Golden Spread Electric Cooperative,0.0151075,Q1,0.007528662
US HLS,GSMS,GSMS,GSMS,0.115,Q1,0.058933411
US TMTE,Guidehouse Inc,Guidehouse Inc,Guidehouse Inc.,0.09,Q1,0.021860227
US RMD,Guitar Center ,Guitar Center ,Guitar Center ,0,Q1,0
ANZ,Halcyon,Halcyon,Halcyon,0,Q1,0
EU,Haldex Brake Products,Haldex Brake Products,Haldex Brake Products,0,Q1,0
ANZ,Harbour Guidance,Harbour Guidance Pty. Ltd.,Harbour Guidance,0.18091246,Q1,0.111625064
ANZ,Hastings Deering,Hastings Deering (Australia) Limited,Hastings Deering,0.641329886,Q1,0.277507811
US HLS,HCSC,HCSC,HCSC,0,Q1,0
US BFSI,HDFC Limited,HDFC Limited,HDFC Limited,0.008096144,Q1,0.003740528
APAC,Health & Glow Private limited,Health & Glow Private limited,Health & Glow Private limited,0,Q1,0
US HLS,HealthTrackRx,HealthTrackRx,HealthTrackRx,0,Q1,0
US RMD,Home Depot,Contractors Warehouse,Home Depot,0.65,Q1,0.329441178
US HLS,Honest Medical Group LLC,Honest Medical Group LLC,Honest Medical Group LLC,0.095,Q1,0.054582202
US RMD,Hoya Lens Singapore Pte Ltd,Hoya Lens Singapore Pte Ltd,Hoya Vision,0.075,Q1,0.036433712
APAC,Hoya Service Corporation Pentax Lifecare Division,Hoya Service Corporation Pentax Lifecare Division,Hoya Service Corporation Pentax Lifecare Division,0,Q1,0
UK IRELAND,HSO Solutions,HSO Solutions,HSO Solutions,0,Q1,0
US TMTE,i2i Population health,"i2i Systems, Inc. d.b.a i2i Population Health",i2i Population health,0.0525825,Q1,0.024521928
US BFSI,ICICI Bank Ltd.,ICICI Bank Ltd.,ICICI Bank Ltd.,0.281745795,Q1,0.138059478
US BFSI,Indospace Development Management Pvt Ltd,0,IndoSpace Development Management Pvt. Ltd.,0.035738691,Q1,0.018298745
US TMTE,Infinite Electronics,Infinite Electronics,Infinite Electronics,0,Q1,0
US TMTE,Informatica India,Informatica Business Solutions Pvt. Ltd.,Informatica India,0.292777175,Q1,0.204950018
US TMTE,Interdigital Administrative Solutions Inc_SOPL,Interdigital Administrative Solutions Inc_SOPL,Interdigital,0.04275,Q1,0.016613773
US RMD,International Automotive Components N.A. INC,International Automotive Components N.A. INC,IAC,0.01,Q1,0.00440784
APAC,ITC Infotech limited,ITC Infotech limited,ITC Infotech limited,0,Q1,0
US RMD,ITS Logistics,ITS Logistics LLC,ITS Logistics,0.95,Q1,0.510202845
US HLS,J & J,Johnson & Johnson Services,J & J,3.3,Q1,1.72684367
ANZ,JAMES GLEN PTY LTD,JAMES GLEN PTY LTD,JAMES GLEN PTY LTD,0,Q1,0
US RMD,Jockey International,"Jockey International, Inc.",Jockey International,0,Q1,0
US RMD,Jon Monroe Consulting,Jon Monroe Consulting,Jon Monroe Consulting,0.01,Q1,0.004725959
US HLS,Kaiser Permanente,Kaiser Permanente,Kaiser Permanente,0,Q1,0
US RMD,KLA Corporation,KLA Corporation,KLA Corporation,0.0193,Q1,0.009375608
US TMTE,Kloud9 LLC,Kloud9 LLC,Kloud9,0.01,Q1,0.004857828
ANZ,Komatsu Australia Pty Ltd.,Komatsu Australia Pty Ltd.,Komatsu Australia,0.287162635,Q1,0.093270302
UK IRELAND,KPMG,KPMG,KPMG,0,Q1,0
US HLS,Kyowa Kirin Inc.,Kyowa Kirin Inc.,Kyowa Kirin,0.31,Q1,0.157949423
ANZ,Ladelle Pty Ltd,Ladelle Pty Ltd,Ladelle Pty Ltd,0,Q1,0
APAC,Landmark ,Landmark ,Landmark ,0,Q1,0
US HLS,Leiters Enterprises,Leiters Enterprises Inc,Leiters Enterprises,0.025,Q1,0.012144571
US HLS,Lifescan,LifeScan Global Corporation,Lifescan,0.1,Q1,0.034004798
US BFSI,Loan Depot,Loan Depot,LoanDepot,0.35,Q1,0.170023988
US TMTE,Logitec,Logitech  Inc,Logitec,0.139536,Q1,0.047448934
EU,Louis Dreyfus,Louis Dreyfus Company India Pvt Ltd,Louis Dreyfus,0.196736288,Q1,0.102305862
US RMD,Lowe's Services,Lowe’s Services India Private Ltd,Lowe’s Services,0.054406085,Q1,0.022033104
US BFSI,Mahindra & Mahindra FS,Mahindra & Mahindra Financial Services Limited,Mahindra & Mahindra FS,0.009715372,Q1,0.004857828
UK IRELAND,Mainstream Renewable Power,Mainstream Renewable Power Limited,Mainstream Renewable Power,0.028798961,Q1,0.012678932
APAC,Manipal Global Education Services,Manipal Global Education Services,Manipal Global Education Services,0,Q1,0
US RMD,Marketforce Information,Marketforce Information,Marketforce,0.1425,Q1,0.130141218
US RMD,Matson Navigation Company,Matson Navigation Company Inc.,Matson Navigation Company,2.1,Q1,1.166870792
US TMTE,Mattson Technology Inc,Mattson Technology Inc.,Mattson Technology Inc,0.176931,Q1,0.114407741
ANZ,"mcaConnect, LLC","mcaConnect, LLC",MCA Connect ,0.02,Q1,0.0092
US HLS,Medidata,Medidata Solutions Inc.,Medidata,0.14,Q1,0.084512113
US TMTE,"Message Broadcast, LLC","Message Broadcast, LLC","Message Broadcast, LLC",0,Q1,0
ANZ,Metcash Limited ,Metcash Trading Limited,Metcash Limited ,0.210585933,Q1,0.114137719
US TMTE,"MetricStream, Inc.","MetricStream, Inc.",Metricstream,0.04,Q1,0.019431313
EU,METRO Cash & Carry India Pvt. Ltd.,METRO Cash & Carry India Pvt. Ltd.,Metro Cash & Carry,0,Q1,0
ANZ,Michael Hill,Michael Hill Jeweller (Australia) Pty Ltd,Michael Hill,0.18,Q1,0.070485523
APAC,Microsoft,Microsoft,Microsoft,0,Q1,0
MS Global,Microsoft Corporation,Microsoft Corporation,Microsoft Global Account,16,Q1,8.663561336
US RMD,Milton Cat,Southworth-Milton Inc,Milton Cat,0,Q1,0
US RMD,Milwaukee Electric Tool Corporation,Milwaukee Electric Tool Corporation,Milwaukee Electric Tool,0.017,Q1,0.004560237
US TMTE,MSIG,MSIG Asia Pte. Ltd.,MSIG,0.022983754,Q1,0.015642207
APAC,Music Tribe,Music Tribe,Music Tribe,0,Q1,0
US BFSI,NACHA,NACHA,NACHA,0.1,Q1,0.040805757
ANZ,NBD - Sonata - ANZ,NBD - Sonata - ANZ,NBD - Sonata - ANZ,0.408153411,Q1,0.215738323
EU,NBD - Sonata - EU,NBD - Sonata - EU,NBD - Sonata - EU,0.198613526,Q1,0.097298736
UK IRELAND,NBD - Sonata - UK,NBD - Sonata - UK,NBD - Sonata - UK,0.408828182,Q1,0.186813574
US BFSI,NBD - Sonata - US BFSI,NBD - Sonata - US BFSI,NBD - Sonata - US BFSI,0.2,Q1,0.099244711
US HLS,NBD - Sonata - US HLS,NBD - Sonata - US HLS,NBD - Sonata - US HLS,0.917274025,Q1,0.428398096
US RMD,NBD - Sonata - US Retail & Mfg,NBD - Sonata - US Retail & Mfg,NBD - Sonata - US Retail & Mfg,0.363790654,Q1,0.176981855
US TMTE,NBD - Sonata - US TMTE,NBD - Sonata - US TMTE,NBD - Sonata - US TMTE,0.875792589,Q1,0.443110263
UK IRELAND,NCC Group,NCC Group,NCC Group,0,Q1,0
APAC,Ncr Corporation,Ncr Corporation,Ncr Corporation,0,Q1,0
APAC,NEC Asia Pacific Pte. Ltd.,NEC Asia Pacific Pte. Ltd.,NEC Asia Pacific Pte. Ltd.,0,Q1,0
EU,Nibe,Nibe,Nibe,0,Q1,0
EU,Normet,Normet OY,Normet,0.993067628,Q1,0.438330118
US BFSI,Northern Trust,Northern Trust,Northern Trust,0.11,Q1,0.023334101
ANZ,NSW Ports ,NSW Ports ,NSW Ports ,0,Q1,0
APAC,NTT DATA Services,NTT DATA Services,NTT DATA Services,0,Q1,0
UK IRELAND,Oasis Group ,Offsite Archive Storage and Integrated ServicesLtd,Oasis Group ,0.019861353,Q1,0.009715656
US TMTE,Omnicom,Omnicom Group Inc.,Omnicom,0.25966,Q1,0.088296857
ANZ,On The Run Pty Ltd,On The Run Pty Ltd,Peregrine,0.02393022,Q1,0.0125
APAC,Oracle India,Oracle India,Oracle India,0,Q1,0
APAC,Others,Others,Others,0,Q1,0
ANZ,Others,Others,Others,0,Q1,0.184597473
US BFSI,Others,Others,Others,0,Q1,0.08258308
EU,Others,Others,Others,0,Q1,0.087440908
US HLS,Others,Others,Others,0,Q1,0.048578282
US RMD,Others,Others,Others,0,Q1,0.291469693
US TMTE,Others,Others,Others,0,Q1,0.048578282
UK IRELAND,Others,Others,Others,0,Q1,0.223460098
Sonata CX,Others,Others,Others,2.033207,Q1,1.189426095
UK IRELAND,P&O Ferries Division,P&O Ferries Division Holdings Ltd.,P&O Ferries Division,0.080743566,Q1,0.030701474
US HLS,Parata Systems,Parata Systems LLC,Parata Systems,0.035,Q1,0.027401598
US BFSI,Pennymac,Pennymac,Pennymac,3.63,Q1,1.634165785
UK IRELAND,Peppermint,Peppermint Technology Ltd,Peppermint,0.102207045,Q1,0.048578282
UK IRELAND,PepsiCo,PepsiCo International Limited,PepsiCo,0.18,Q1,0.078696817
ANZ,PNG Data Co,0,PNG Data Co,0,Q1,0
US RMD,Polypore,Polypore,Polypore,0,Q1,0
ANZ,Pope Packaging,OE & DR Pope Pty Ltd,Pope Packaging,0.067004615,Q1,0.034316126
US BFSI,"Precision Autonomy Services, Inc","Precision Autonomy Services, Inc",Precision Autonomy,0,Q1,0
UK IRELAND,Premier Lotteries Ireland DAC,Premier Lotteries Ireland DAC,Premier Lotteries Ireland DAC ,0.029792029,Q1,0.014573485
UK IRELAND,Primeline Group Ltd,Primeline Group Ltd,Primeline,0.074480072,Q1,0.040077083
US RMD,Print Syndicate,Print Syndicate,Print Syndicate,0,Q1,0
US HLS,Prodigy Healthcare,Prodigy Healthcare,Prodigy Healthcare,0,Q1,0
APAC,Qatar Airways,Qatar Airways,Qatar Airways,0,Q1,0
US RMD,Quarkcity India Pvt. Ltd,Quarkcity India Pvt. Ltd,QuarkCity,0.003206073,Q1,0.001282467
ANZ,RACQ,RACQ,RACQ,0,Q1,0
APAC,Ralph Lauren Sourcing India LLP,Ralph Lauren Sourcing India LLP,Ralph Lauren Sourcing India LLP,0,Q1,0
US RMD,Rambus Inc.,Rambus Inc.,Rambus,0,Q1,0
APAC,Randstad,Randstad,Randstad,0,Q1,0
APAC,Ranstad (Walmart India),Ranstad (Walmart India),Ranstad (Walmart India),0,Q1,0
US HLS,Red Hill Ventures LLC,Red Hill Ventures LLC,Red Hill Ventures,0,Q1,0
US BFSI,Republic Financial Holdings Limited,Republic Financial Holdings Limited,Republic Bank,0.55,Q1,0.263701975
US RMD,Reynolds Consumer Products LLC,Reynolds Consumer Products LLC,Reynolds Consumer products ,0.12,Q1,0.047354875
US RMD,Ricetec,Ricetec,Ricetec,0.0125,Q1,0.006072285
ANZ,Ridley,Ridley AgriProducts Pty Ltd,Ridley,0.038288351,Q1,0.029146969
US RMD,Ring Publications LLC,Ring Publications LLC,Ring Publications LLC,0.012,Q1,0.011134142
EU,R-kioski,R-kioski,R-kioski,0,Q1,0
ANZ,Ronstan International Pty Ltd,Ronstan International Pty Ltd,Ronstan,0.019144176,Q1,0.015
US TMTE,Sage Software,Sage Global Services Limited,Sage Software,0.02,Q1,0.011658788
APAC,Samsung Group,Samsung Group,Samsung Group,0,Q1,0
ANZ,Sanford Australia,Sanford Australia Pty. Ltd.,Sanford Australia Pty. Ltd.,0,Q1,0
APAC,SAP,SAP,SAP,0,Q1,0
US RMD,Savannah Seeds Private Limited,Savannah Seeds Private Limited,Savannah Seeds Private Limited,0,Q1,0
ANZ,SCALZO TRADING CO. PROPRIETARY LIMITED,SCALZO TRADING CO. PROPRIETARY LIMITED,SCALZO,0.004786044,Q1,0.0025
US TMTE,SCE ,SCE ,SCE ,0,Q1,0
US TMTE,SCS Software,SCS Software,SCS Software,0,Q1,0
US RMD,Shamrock Foods Company,Shamrock Foods Company,Shamrock Foods Company,0.05,Q1,0.025260707
ANZ,Sime Darby Industrial Solutions,Sime Darby Industrial Solutions,Sime Darby Industrial Solutions,0,Q1,0
US TMTE,Sinequa,Sinequa Corp,Sinequa,0.00675,Q1,0.001311614
US RMD,Sleep Number Corporation,Sleep Number Corporation,Sleep Number Corporation,0.05,Q1,0.025260707
ANZ,Small Accounts - ANZ,Small Accounts - ANZ,Small Accounts - ANZ,0,Q1,0
APAC,Software AG,Software AG,Software AG,0,Q1,0
US TMTE,Solera Auto Finance LLC,Solera Auto Finance LLC,Solera Auto Finance,0.006225,Q1,0.003628798
US HLS,Solta Medical Inc.,Solta Medical Inc.,Solta Medical Inc.,0,Q1,0
US TMTE,Sony,Sony India Software Centre Pvt Ltd,Sony,0.529162775,Q1,0.343965866
ANZ,Spotlight,Spotlight Pty ltd,Spotlight,0.239302196,Q1,0.122117519
US TMTE,St. Petersburg College,St. Petersburg College,St. Petersburg College,0,Q1,0
ANZ,Stockland Land Lease Management Pty Ltd,Stockland Land Lease Management Pty Ltd,Stocklan Halcyon,0,Q1,0
US RMD,Stockton Soda,Stockton Soda,Stockton Soda,0.15,Q1,0.058293939
US HLS,SunMed Group Holdings LLC dba AirLife,SunMed Group Holdings LLC dba AirLife,Airlife,0.125,Q1,0.118409563
EU,Sunrise,Sunrise Communications AG,Sunrise,0.059430223,Q1,0.014573485
ANZ,Support,Support,Support,0,Q1,0
US BFSI,Symetra Life Insurance Company,Symetra Life Insurance Company,Symetra,0.21,Q1,0.097392517
US BFSI,TATA Motors Finance Limited.,TATA Motors Finance Limited,TATA Motors Finance Limited.,0.036432646,Q1,0.01991293
US TMTE,Terra Millennium Corp,Terra Millennium Corp,Terra Millennium Corp,0,Q1,0
ANZ,TerryWhite Chemmart,TerryWhite Chemmart Pty Ltd,TerryWhite Chemmart,0.174211999,Q1,0.099373789
UK IRELAND,Tesco,Tesco Bengaluru Pvt Ltd,Tesco,0.136015211,Q1,0.074810555
US HLS,The Oved Group,The Oved Group,The Oved Group,0,Q1,0
US RMD,The Timken Company,The Timken Company,Timken,0,Q1,0
US HLS,Theravance Biopharma US Inc,Theravance Biopharma US Inc,Theravance,0.03,Q1,0.014591604
US TMTE,Thought Stream,Thought Stream,Thought Stream,0,Q1,0
US RMD,TMS,TMS International LLC,TMS,0.48,Q1,0.213753858
UK IRELAND,TORI Global,TORI Limited,TORI Global,0.051103523,Q1,0.024289141
ANZ,Total Beauty Network,Total Beauty Network,TBN,0.067961824,Q1,0.042446445
US HLS,Trident USA Health Service,Trident USA Health Service,Trident USA Health Service,0.2,Q1,0.097796867
APAC,True North,True North,True North,0,Q1,0
UK IRELAND,TUI UK,TUI,TUI UK,5.168863573,Q1,3.391233803
APAC,TVS Group,TVS Group,TVS Group,0,Q1,0
US TMTE,UKG Inc,UKG Inc,UKG Inc,0.04,Q1,0.0214615
APAC,Unilever,Unilever,Unilever,0,Q1,0
US RMD,UniPro Foodservice,UniPro Foodservice,UniPro Foodservice,0,Q1,0
US TMTE,United Teachers Los Angeles,United Teachers Los Angeles,United Teachers Los Angeles,0,Q1,0
ANZ,Uniting Church,The Uniting Church in Australia Property Trust,UCA,0.019144176,Q1,0.008
US TMTE,University of Texas SouthWestern Medical Center,University of Texas SouthWestern Medical Center,University of Texas SouthWestern Medical Center,0,Q1,0
US RMD,Ventura Foods,"Ventura Foods, LLC",Ventura Foods,0.95,Q1,0.470926147
ANZ,Walz Group Pty Ltd,Walz Group Pty Ltd,Walz Group Pty Ltd,0,Q1,0
US HLS,Wavetec/Alcon,Wavetec/Alcon,Wavetec/Alcon,0,Q1,0
US RMD,Westway Feeds,Westway Feeds,Westway Feeds,0,Q1,0
EU,Widex,Widex A/S,Widex,0.34757367,Q1,0.170023988
US TMTE,Wolters Kluver,"Wolters Kluwer DXG U.S., Inc.",Wolters Kluver,0.15,Q1,0.072867423
US TMTE,World Vision Canada,World Vision Canada,World Vision Canada,0.107285722,Q1,0.054562003
ANZ,XL Express (WMH) Pty Ltd,XL Express (WMH) Pty Ltd,XL Express (WMH) Pty Ltd,0,Q1,0
US RMD,Zones,Zones LLC,Zones,0.5,Q1,0.320379417
US RMD,Zones,Zones LLC,Zones,0.5,Q1,0
US RMD,Zones,Zones LLC,Zones,0,Q1,0.320379417
US RMD,Zones,Zones LLC,Zones,0,Q1,0
US TMTE,Zuora Inc.,Zuora Inc.,Zuora,0.045,Q1,0.018362591
US RMD,"Outform Group, Inc","Outform Group, Inc",,0,Q1,0
US RMD,Tempur-Pedic,Tempur-Pedic,,0,Q1,0
US BFSI,Franklin Templeton,Franklin Templeton,,0,Q1,0
US HLS,"DirectMed Imaging, LLC","DirectMed Imaging, LLC",,0,Q1,0
