,Title,LinkTitleNoMenu,LinkTitle,AccountType,BusinessUnit,Budget,Service_x0020_Revenue_x0020_conf,Service_x0020_Revenue_x0020_in_x,Non_x002d_service_x0020_Revenue_,Non_x002d_service_x0020_Revenue_0,Rev_x0020_Committed,Gap_x0020_from_x0020_Budget,Rev_x0020__x2013__x0020_Proactiv,FinancialYear,Quater,Company,PL,SalesHeadLookupId,DeliveryHeadLookupId,DeliveryDirectorLookupId,Industry,Actuals,Comments,SRCEE,SRCEN,SRCNBD,SRPEE,SRPEN,SRPNBD,SoftConfirmed,ClientPartnerLookupId,NSRConfirmed,NSRInProgress,Risk,Forecast,NSR_x0020_Risk,NSR_x0020_Forecast,Total_x0020_Risk,Total_x0020_Forecast,AccountCoverage,ClientPartnerNew,id,ContentType,Modified,Created,AuthorLookupId,EditorLookupId,_UIVersionString,Attachments,Edit,ItemChildCount,FolderChildCount,_ComplianceFlags,_ComplianceTag,_ComplianceTagWrittenTime,_ComplianceTagUserId,AppEditorLookupId,RDOnshore,RDOffshore,AppAuthorLookupId,CustomerShortName
"""a34b2ff1-0eed-44db-b32c-1f4dbc111788,9""",Deaf Services Queensland,Deaf Services Queensland,Deaf Services Queensland,E,MDU,0.04774,0.0,0.0,0.0,0.0,0.0,0.0477,0.0,FY25,Q1,SSL,ANZ,39,88,88,HLS,0.015,update 9/4 - Vikas to update 102K removed checked ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0097,0.0,0.0,0.0,0.0,0.0097,0.0000,0.0097,Delivery Led,Delivery Led,6707,Item,2024-12-26T14:20:10Z,2024-06-13T11:58:47Z,12,187,9.0,False,,0,0,,,,,30,,,,
"""1b1d41a7-cecd-41ea-89f5-6ae1487df9bc,6""",DRA Shared Services,DRA Shared Services,DRA Shared Services,E,MDU,0.0117,0.0,0.0,0.0,0.0,0.0,0.0117,0.0,FY25,Q1,SSL,ANZ,39,88,88,Emerging,0.001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Delivery Led,Delivery Led,6708,Item,2024-12-26T14:20:38Z,2024-06-13T11:58:47Z,12,187,6.0,False,,0,0,,,,,30,,,,
"""352c94ed-20f5-4679-bf13-ef3c914d6b61,6""",Fletcher,Fletcher,Fletcher,E,MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,88,Retail,0.005,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,0.0032,0.0,0.0,0.0,0.0,0.0032,0.0000,0.0032,Delivery Led,Delivery Led,6709,Item,2024-12-26T14:21:06Z,2024-06-13T11:58:48Z,12,187,6.0,False,,0,0,,,,,30,,,,
"""32fad072-6eb0-45b6-9605-02989576b399,7""",Harbour Guidance,Harbour Guidance,Harbour Guidance,E,MDU,0.01309,0.249,0.0,0.0,0.0,0.249,-0.2359,0.0,FY25,Q1,SSL,ANZ,39,88,119,Retail,0.347,"28May - NSR confirmed 105 USD, ",0.0,0.249,0.0,0.0,0.0,0.0,0.0,109,0.1116,0.0,0.0,0.0,0.0,0.1116,0.0000,0.1116,Sales,Rajan Chauhan,6710,Item,2024-09-12T12:53:55Z,2024-06-13T11:58:50Z,12,12,7.0,False,,0,0,,,,,30,,,,
"""8666c914-4eb4-4745-aa9e-4875ae917e9c,8""",Hastings Deering,Hastings Deering,Hastings Deering,E,MDU,0.58635,0.475,0.0,0.0,0.0,0.475,0.1114,0.0,FY25,Q1,SSL,ANZ,39,88,119,Retail,0.489,"09/05 - E-invoicing moved to confirmed, Korber POC - 4,600 added

07/05 - Moved E-invoicing to Soft-confirmed, awaiting SoW and Testing signed",0.32,0.155,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Sales,Vikas Singh,6711,Item,2024-09-12T12:53:58Z,2024-06-13T11:58:50Z,12,12,8.0,False,,0,0,,,,,30,,,,
"""39836440-4319-464b-ba03-af87ec2292a0,10""",Michael Hill,Michael Hill,Michael Hill,E,MDU,0.02619,0.18,0.0,0.0,0.0,0.18,-0.1538,0.0,FY25,Q1,SSL,ANZ,39,88,88,Manufacturing,0.186,3/6 - Moved to confirmed as CFO as signed internally. Expecting CEO signature today,0.18,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.18,0.0,0.0,0.0000,0.1800,Sales,Vikas Singh,6712,Item,2025-02-28T07:36:23Z,2024-06-13T11:58:51Z,12,157,10.0,False,,0,0,,,,,30,0.0,0.0,,
"""a2c99f7a-9255-4b1a-8aaf-0bcd4a5e42a8,9""",NBD - Sonata - ANZ,NBD - Sonata - ANZ,NBD - Sonata - ANZ,N,Non-MDU,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,88,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,NBD,NBD,6714,Item,2024-12-26T14:22:30Z,2024-06-13T11:58:54Z,12,187,9.0,False,,0,0,,,,,30,,,,
"""d96eef72-3d46-443b-95b3-24775d07ae7a,9""",Peregrine,Peregrine,Peregrine,N,MDU,0.0,0.06,0.0,0.0,0.0,0.06,-0.06,0.0,FY25,Q1,SSL,ANZ,39,88,88,,0.0,9/4 moved to Soft ,0.06,0.0,0.0,0.0,0.0,0.0,0.0,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Sales,Rohit Bhat,6715,Item,2024-12-26T14:22:41Z,2024-06-13T11:58:56Z,12,187,9.0,False,,0,0,,,,,30,,,,
"""7a51d63b-330e-465a-951a-01ad79938587,8""",Pope Packaging,Pope Packaging,Pope Packaging,N,MDU,0.0,0.11,0.0,0.0,0.0,0.11,-0.11,0.0,FY25,Q1,SSL,ANZ,39,88,119,Retail,0.164,23/04 - SOW signed ,0.0,0.11,0.0,0.0,0.0,0.0,0.0,109,0.0334,0.0,0.0,0.0,0.0,0.0334,0.0000,0.0334,Sales,Rajan Chauhan,6716,Item,2024-09-12T12:59:09Z,2024-06-13T11:58:56Z,12,12,8.0,False,,0,0,,,,,30,,,,
"""99d10159-18cb-469c-b931-fd7a6312a948,10""",RACQ,RACQ,RACQ,E,MDU,0.0,0.076,0.0,0.0,0.0,0.076,-0.076,0.0,FY25,Q1,SSL,ANZ,39,88,88,BFSI,0.066,Checked 9/4,0.076,0.0,0.0,0.0,0.0,0.0,0.0,111,0.002,0.0,0.0,0.0,0.0,0.002,0.0000,0.0020,Sales,Vikas Singh,6717,Item,2024-12-26T14:23:09Z,2024-06-13T11:58:56Z,12,187,10.0,False,,0,0,,,,,30,,,,
"""398c473f-09d7-4a3e-94b3-b2d1188673b9,5""",Ridley,Ridley,Ridley,E,MDU,0.22306,0.0,0.0,0.0,0.0,0.0,0.2231,0.0,FY25,Q1,SSL,ANZ,39,88,88,Manufacturing,0.0,Updated 9/ 4 based on Grace info ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0647,0.0,0.0,0.0,0.0,0.0647,0.0000,0.0647,Sales,Rajan Chauhan,6718,Item,2024-12-26T14:23:24Z,2024-06-13T11:58:57Z,12,187,5.0,False,,0,0,,,,,30,,,,
"""1d78330a-f64c-4332-84e3-353f66302423,6""",Sime Darby Industrial Solutions,Sime Darby Industrial Solutions,Sime Darby Industrial Solutions,E,MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,119,Manufacturing,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Sales,Biju John,6719,Item,2024-09-12T13:01:13Z,2024-06-13T11:59:00Z,12,12,6.0,False,,0,0,,,,,30,,,,
"""c44dfe4a-a7f6-43d3-b74c-bf6be8f32794,6""",Small Accounts - ANZ,Small Accounts - ANZ,Small Accounts - ANZ,E,MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,88,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Delivery Led,Delivery Led,6720,Item,2024-12-26T14:23:57Z,2024-06-13T11:59:00Z,12,187,6.0,False,,0,0,,,,,30,,,,
"""29d3628c-2ed8-4c0f-8250-f43ecfcb348a,12""",Spotlight,Spotlight,Spotlight,E,Non-MDU,0.0,0.36,0.0,0.0,0.0,0.36,-0.36,0.0,FY25,Q1,SSL,ANZ,39,88,88,Retail,0.363,20 Jun - Increase confirmed by 5K,0.213,0.147,0.0,0.0,0.0,0.0,0.0,109,0.0,0.0,0.0,0.36,0.0,0.0,0.0000,0.3600,Sales,Rajan Chauhan,6721,Item,2024-12-26T14:24:08Z,2024-06-13T11:59:02Z,12,187,12.0,False,,0,0,,,,,30,,,,
"""5744b3cc-3c0e-4c3b-aca5-604f7f0fa4db,10""",Support ,Support ,Support ,N,MDU,0.0,0.1446,0.0,0.0,0.0,0.1446,-0.1446,0.0,FY25,Q1,SSL,ANZ,39,88,119,,0.0,Updated 20/6 Breakdown to be sent to finance,0.099,0.029,0.0166,0.0,0.0,0.0,0.0,220,0.0,0.0,0.0,0.1446,0.0,0.0,0.0000,0.1446,Delivery Led,Delivery Led,6722,Item,2024-09-12T13:02:08Z,2024-06-13T11:59:02Z,12,12,10.0,False,,0,0,,,,,30,,,,
"""53620ceb-3fe1-4497-9840-fc621ad8e7d6,12""",TBN,TBN,TBN,E,MDU,0.0386,0.042,0.0,0.0,0.0,0.042,-0.042,0.0,FY25,Q1,SSL,ANZ,39,88,88,Manufacturing,0.044,Checked 05/5,0.042,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Delivery Led,Delivery Led,6723,Item,2024-12-26T14:24:35Z,2024-06-13T11:59:04Z,12,187,12.0,False,,0,0,,,,,30,,,,
"""bbb3fb32-ad69-49dd-950e-3cab4a48c4ee,13""",TerryWhite Chemmart,TerryWhite Chemmart,TerryWhite Chemmart,N,MDU,0.0,0.085,0.0,0.0,0.0,0.085,-0.085,0.0,FY25,Q1,SSL,ANZ,39,88,119,TMT,0.093,"Updated 1 March, Closure to happen by Mid March 2024",0.0,0.0,0.085,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.085,0.0,0.0,0.0000,0.0850,Sales,Vikas Singh,6724,Item,2024-09-12T13:03:02Z,2024-06-13T11:59:05Z,12,12,13.0,False,,0,0,,,,,30,,,,
"""78d89f59-09f0-4174-92a9-6044b1d738fe,12""",Uniting Church,Uniting Church,Uniting Church,E,MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,ANZ,39,88,119,Emerging,0.022,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Sales,Rajan Chauhan,6725,Item,2024-09-12T13:03:51Z,2024-06-13T11:59:05Z,12,12,12.0,False,,0,0,,,,,30,,,,
"""09fe7c9e-e37a-4a5d-85ac-367847c47857,9""",Metro Cash & Carry,Metro Cash & Carry,Metro Cash & Carry,E,Non-MDU,0.0,0.014,0.0,0.0,0.0,0.014,-0.014,0.0,FY25,Q1,SSL,APAC,177,31,31,Retail,0.014,,0.014,0.0,0.0,0.0,0.0,0.0,0.0,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Sales,Delivery Led,6726,Item,2024-12-27T11:56:24Z,2024-06-13T11:59:06Z,12,187,9.0,False,,0,0,,,,,30,,,,
"""040ca9aa-b74b-4722-a4d5-f416651bac93,10""",ICICI Bank Ltd.,ICICI Bank Ltd.,ICICI Bank Ltd.,E,Non-MDU,0.32482,0.27,0.0,0.0,0.0,0.27,0.0548,0.0,FY25,Q1,SSL,APAC,177,31,31,BFSI,0.277,,0.27,0.0,0.0,0.0,0.0,0.0,0.0,160,0.0,0.0,0.0,0.27,0.0,0.0,0.0000,0.2700,Sales,Deepak Buswal,6727,Item,2024-09-12T12:54:36Z,2024-06-13T11:59:07Z,12,12,10.0,False,,0,0,,,,,30,,,,
"""94e60908-8df7-4fa6-a302-798812150f9d,14""",ABFRL,ABFRL,ABFRL,E,Non-MDU,0.49970582,0.36,0.008,0.0,0.0,0.368,0.1317,0.0,FY25,Q1,SSL,APAC,177,31,31,Retail,0.373,,0.36,0.0,0.0,0.0,0.0,0.008,0.0,106,0.0,0.0,0.008,0.36,0.0,0.0,0.0080,0.3600,Sales,Ashish R Shah,6728,Item,2024-12-27T11:49:47Z,2024-06-13T11:59:08Z,12,187,14.0,False,,0,0,,,,,30,,,,
"""4cce41f3-05cd-4bf5-b004-077afee2f27b,11""",Aristocrat Technologies,Aristocrat Technologies,Aristocrat Technologies,E,MDU,0.047,0.0316,0.0184,0.0,0.0,0.05,-0.003,0.0,FY25,Q1,SSL,APAC,177,31,31,TMT,0.027,,0.0316,0.0,0.0,0.0,0.0,0.012,0.0064,105,0.0,0.0,0.0184,0.0316,0.0,0.0,0.0184,0.0316,Sales,Anil Kumar Jayaram,6729,Item,2024-12-27T11:50:05Z,2024-06-13T11:59:09Z,12,187,11.0,False,,0,0,,,,,30,,,,
"""e30e37a8-c5c0-4d25-bf50-7bdf12a54fc6,12""",CloudLex,CloudLex,CloudLex,E,Non-MDU,0.026,0.025,0.0,0.0,0.0,0.025,0.001,0.0,FY25,Q1,SSL,APAC,177,31,31,TMT,0.018,,0.025,0.0,0.0,0.0,0.0,0.0,0.0,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Delivery Led,Delivery Led,6730,Item,2024-12-27T11:50:57Z,2024-06-13T11:59:10Z,12,187,12.0,False,,0,0,,,,,30,,,,
"""20e384b8-a54e-4a1c-af8c-a90fac833fd3,13""",Computacenter India,Computacenter India,Computacenter India,E,Non-MDU,0.05714,0.06,0.0154,0.0,0.0,0.0754,-0.0183,0.0,FY25,Q1,SSL,APAC,177,31,31,Emerging,0.057,,0.06,0.0,0.0,0.0,0.0,0.012,0.0034,105,0.0,0.0,0.0154,0.06,0.0,0.0,0.0154,0.0600,Sales,Anil Kumar Jayaram,6731,Item,2024-09-12T12:50:15Z,2024-06-13T11:59:10Z,12,12,13.0,False,,0,0,,,,,30,,,,
"""f08f4577-46ca-4770-a226-59266114c850,8""",D&L Industries,D&L Industries,D&L Industries,E,MDU,0.22975,0.17,0.0,0.0,0.0,0.17,0.05975,0.0,FY25,Q1,SSL,APAC,177,31,31,Emerging,0.127,,0.17,0.0,0.0,0.0,0.0,0.0,0.0,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Delivery Led,Delivery Led,6732,Item,2024-12-27T11:51:20Z,2024-06-13T11:59:12Z,12,187,8.0,False,,0,0,,,,,30,,,,
"""72899069-ea7b-42f2-842f-27bab7c9a59c,9""",Dell - India,Dell - India,Dell - India,E,Non-MDU,0.0985,0.09,0.0,0.0,0.0,0.09,0.0085,0.0,FY25,Q1,SSL,APAC,177,31,31,Emerging,0.113,,0.09,0.0,0.0,0.0,0.0,0.0,0.0,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Sales,Anil Kumar Jayaram,6733,Item,2024-12-27T11:51:35Z,2024-06-13T11:59:12Z,12,187,9.0,False,,0,0,,,,,30,,,,
"""c5569261-e9bd-4ba3-891e-150a285499d9,7""",Dentsu,Dentsu,Dentsu,N,MDU,0.0045,0.01,0.0,0.0,0.0,0.01,-0.0055,0.0,FY25,Q1,SSL,APAC,177,31,31,Emerging,0.01,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Sales,Ashish R Shah,6734,Item,2024-12-27T11:52:03Z,2024-06-13T11:59:14Z,12,187,7.0,False,,0,0,,,,,30,,,,
"""879d4e91-1a31-469c-9a1d-39584fcb3500,8""",Dr. Lal PathLabs,Dr. Lal PathLabs,Dr. Lal PathLabs,E,Non-MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,APAC,177,31,31,HLS,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,No Coverage,No coverage,6735,Item,2024-12-27T11:52:21Z,2024-06-13T11:59:15Z,12,187,8.0,False,,0,0,,,,,30,,,,
"""909dd404-fd35-4445-90ab-97e91a91f5df,12""",DTDC Express,DTDC Express,DTDC Express,E,Non-MDU,0.05,0.042,0.0,0.0,0.0,0.042,0.008,0.0,FY25,Q1,SSL,APAC,177,31,31,Manufacturing,0.028,,0.042,0.0,0.0,0.0,0.0,0.0,0.0,106,0.0,0.0,0.0,0.042,0.0,0.0,0.0000,0.0420,Sales,Ashish R Shah,6736,Item,2024-12-27T11:52:32Z,2024-06-13T11:59:15Z,12,187,12.0,False,,0,0,,,,,30,,,,
"""9106a47d-1652-40b1-8a2b-f579702fc734,7""",Electrosteel Castings,Electrosteel Castings,Electrosteel Castings,E,Non-MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,APAC,177,31,31,Manufacturing,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,No Coverage,No coverage,6737,Item,2024-09-12T12:52:02Z,2024-06-13T11:59:16Z,12,12,7.0,False,,0,0,,,,,30,,,,
"""a07391b7-78fe-43a8-b4c1-03ff98cc037d,7""",Essilor India,Essilor India,Essilor India,E,Non-MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,APAC,177,31,31,HLS,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,No Coverage,No coverage,6738,Item,2024-09-12T12:52:25Z,2024-06-13T11:59:16Z,12,12,7.0,False,,0,0,,,,,30,,,,
"""cf841c7e-1e9f-43c6-9b51-dbff999b5728,11""",EY,EY,EY,E,Non-MDU,0.0,0.06,0.0,0.0,0.0,0.06,-0.06,0.0,FY25,Q1,SSL,APAC,177,31,31,Emerging,0.069,,0.06,0.0,0.0,0.0,0.0,0.0,0.0,106,0.0,0.0,0.0,0.06,0.0,0.0,0.0000,0.0600,Sales,Ashish R Shah,6739,Item,2024-09-12T12:52:42Z,2024-06-13T11:59:17Z,12,12,11.0,False,,0,0,,,,,30,,,,
"""6a7ed793-241f-43f9-9987-2d26fd6b1f86,8""",EYGBS,EYGBS,EYGBS,E,Non-MDU,0.09501,0.0,0.0,0.0,0.0,0.0,0.09501,0.0,FY25,Q1,SSL,APAC,177,31,31,TMT,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Sales,Ashish R Shah,6740,Item,2024-09-12T12:52:45Z,2024-06-13T11:59:18Z,12,12,8.0,False,,0,0,,,,,30,,,,
"""ab39ace0-6102-4548-a7c1-8928093c9267,7""",FUJIFILM Digital Solutions,FUJIFILM Digital Solutions,FUJIFILM Digital Solutions,E,Non-MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,APAC,177,31,119,Emerging,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Sales,Sudhi Bhushan C K,6741,Item,2024-09-12T12:53:16Z,2024-06-13T11:59:20Z,12,12,7.0,False,,0,0,,,,,30,,,,
"""f1d4c372-a472-4a39-ac54-cd9a3d6b14f5,10""",HDFC Limited,HDFC Limited,HDFC Limited,E,MDU,0.05662,0.045,0.0,0.0,0.0,0.045,0.0116,0.0,FY25,Q1,SSL,APAC,177,31,31,BFSI,0.065,,0.045,0.0,0.0,0.0,0.0,0.0,0.0,160,0.0,0.0,0.0,0.045,0.0,0.0,0.0000,0.0450,Sales,Deepak Buswal,6742,Item,2024-12-27T11:53:49Z,2024-06-13T11:59:20Z,12,187,10.0,False,,0,0,,,,,30,,,,
"""59fb71f1-781a-457e-9a04-551efeb364c3,10""",Health and Glow,Health and Glow,Health and Glow,N,Non-MDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY25,Q1,SSL,APAC,177,31,31,Retail,0.022,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,Delivery Led,Delivery Led,6743,Item,2024-09-12T12:54:08Z,2024-06-13T11:59:20Z,12,12,10.0,False,,0,0,,,,,30,,,,
