Title,Total_Revenue,FinancialYear,Quarter,Month
"Children's Health Queensland",0,FY26,Q1,Jun
"Christian Dior",0,FY26,Q1,Apr
"Christian Dior",0,FY26,Q1,May
"Christian Dior",0,FY26,Q1,Jun
"Cloud 3 Technologies",0.00959175000000000,FY26,Q1,Apr
"Cloud 3 Technologies",0.0100485000000000,FY26,Q1,May
"Cloud 3 Technologies",0.00913500000000000,FY26,Q1,Jun
"CloudLex",0.00600000000000000,FY26,Q1,Apr
"CloudLex",0.00600000000000000,FY26,Q1,May
"CloudLex",0.00660000000000000,FY26,Q1,Jun
"CMC",0.154900000000000,FY26,Q1,Apr
"CMC",0.161400000000000,FY26,Q1,May
"CMC",0.148500000000000,FY26,Q1,Jun
"Cobs Bread",0.00560000000000000,FY26,Q1,Apr
"Cobs Bread",0.00570000000000000,FY26,Q1,May
"Cobs Bread",0.00560000000000000,FY26,Q1,Jun
"Coca Cola",0,FY26,Q1,Apr
"Coca Cola",0,FY26,Q1,May
"Coca Cola",0,FY26,Q1,Jun
"Cohu",0,FY26,Q1,Apr
"Cohu",0,FY26,Q1,May
"Cohu",0,FY26,Q1,Jun
"Computacenter India",0.0210000000000000,FY26,Q1,Apr
"Computacenter India",0.0210000000000000,FY26,Q1,May
"Computacenter India",0.0270000000000000,FY26,Q1,Jun
"Computacenter UK",0.300000000000000,FY26,Q1,Apr
"Computacenter UK",0.235000000000000,FY26,Q1,May
"Computacenter UK",0.230000000000000,FY26,Q1,Jun
"Conde Nast",0,FY26,Q1,Apr
"Conde Nast",0,FY26,Q1,May
"Conde Nast",0,FY26,Q1,Jun
"Cornerstone on Demand",0.113184000000000,FY26,Q1,Apr
"Cornerstone on Demand",0.134669200000000,FY26,Q1,May
"Cornerstone on Demand",0.105084000000000,FY26,Q1,Jun
"Correct Care Solutions",0.646000000000000,FY26,Q1,Apr
"Correct Care Solutions",0.656000000000000,FY26,Q1,May
"Correct Care Solutions",0.656000000000000,FY26,Q1,Jun
"Coyuchi",0.00430000000000000,FY26,Q1,Apr
"Coyuchi",0.00440000000000000,FY26,Q1,May
"Coyuchi",0.00430000000000000,FY26,Q1,Jun
"CPL Aromas",0.442000000000000,FY26,Q1,Apr
"CPL Aromas",0.0800000000000000,FY26,Q1,May
"CPL Aromas",0.0700000000000000,FY26,Q1,Jun
"CPS Solutions",0.569200000000000,FY26,Q1,Apr
"CPS Solutions",0.511600000000000,FY26,Q1,May
"CPS Solutions",0.519200000000000,FY26,Q1,Jun
"Crowley",0,FY26,Q1,Apr
"Crowley",0,FY26,Q1,May
"Crowley",0,FY26,Q1,Jun
"Crunchyroll",0.00660000000000000,FY26,Q1,Apr
"Crunchyroll",0.00680000000000000,FY26,Q1,May
"Crunchyroll",0.00660000000000000,FY26,Q1,Jun
"CSL Behring",0.00500000000000000,FY26,Q1,Apr
"CSL Behring",0.00510000000000000,FY26,Q1,May
"CSL Behring",0.00500000000000000,FY26,Q1,Jun
"CVS",0,FY26,Q1,Apr
"CVS",0,FY26,Q1,May
"CVS",0,FY26,Q1,Jun
"Daltron",0.0600000000000000,FY26,Q1,Apr
"Daltron",0,FY26,Q1,May
"Daltron",0,FY26,Q1,Jun
"Danish Agro",0.114900000000000,FY26,Q1,Apr
"Danish Agro",0.0122000000000000,FY26,Q1,May
"Danish Agro",0.0119000000000000,FY26,Q1,Jun
"Deaf Services Queensland",0.0282000000000000,FY26,Q1,Apr
"Deaf Services Queensland",0,FY26,Q1,May
"Deaf Services Queensland",0,FY26,Q1,Jun
"Dell - India",0.0300000000000000,FY26,Q1,Apr
"Dell - India",0.0200000000000000,FY26,Q1,May
"Dell - India",0.0300000000000000,FY26,Q1,Jun
"Dentsu",0,FY26,Q1,Apr
"Dentsu",0,FY26,Q1,May
"Dentsu",0,FY26,Q1,Jun
"Deutsche Telekom",0.0413000000000000,FY26,Q1,Apr
"Deutsche Telekom",0.0425000000000000,FY26,Q1,May
"Deutsche Telekom",0.0488000000000000,FY26,Q1,Jun
"DISA",0.00240000000000000,FY26,Q1,Apr
"DISA",0.00250000000000000,FY26,Q1,May
"DISA",0.00240000000000000,FY26,Q1,Jun
"DMI",0.00500000000000000,FY26,Q1,Apr
"DMI",0.00510000000000000,FY26,Q1,May
"DMI",0.00500000000000000,FY26,Q1,Jun
"Dominos Pizza",0.637000000000000,FY26,Q1,Apr
"Dominos Pizza",0,FY26,Q1,May
"Dominos Pizza",0,FY26,Q1,Jun
"Dynamic Fit Alliance Automation",0,FY26,Q1,Apr
"Dynamic Fit Alliance Automation",0,FY26,Q1,May
"Dynamic Fit Alliance Automation",0,FY26,Q1,Jun
"EBOS Group",0.0150000000000000,FY26,Q1,Apr
"EBOS Group",0,FY26,Q1,May
"EBOS Group",0,FY26,Q1,Jun
"Edison Energy",0,FY26,Q1,Apr
"Edison Energy",0,FY26,Q1,May
"Edison Energy",0,FY26,Q1,Jun
"Elevance health",0.0330000000000000,FY26,Q1,Apr
"Elevance health",0.0340000000000000,FY26,Q1,May
"Elevance health",0.0330000000000000,FY26,Q1,Jun
"Elevate",0,FY26,Q1,Apr
"Elevate",0,FY26,Q1,May
"Elevate",0,FY26,Q1,Jun
"Endeavor Group",0,FY26,Q1,Apr
"Endeavor Group",0,FY26,Q1,May
"Endeavor Group",0,FY26,Q1,Jun
"ENGEN Africa",0.0132000000000000,FY26,Q1,Apr
"ENGEN Africa",0.0136000000000000,FY26,Q1,May
"ENGEN Africa",0.0132000000000000,FY26,Q1,Jun
"ENOVIX CORPORATION",0.00375000000000000,FY26,Q1,Apr
"ENOVIX CORPORATION",0.00375000000000000,FY26,Q1,May
"ENOVIX CORPORATION",0.00375000000000000,FY26,Q1,Jun
"Enviva",0,FY26,Q1,Apr
"Enviva",0,FY26,Q1,May
"Enviva",0,FY26,Q1,Jun
"Epicor",0.204971428571429,FY26,Q1,Apr
"Epicor",0.210796948051948,FY26,Q1,May
"Epicor",0.155440000000000,FY26,Q1,Jun
"ETrawler",0.0768000000000000,FY26,Q1,Apr
"ETrawler",0.00240000000000000,FY26,Q1,May
"ETrawler",0.00230000000000000,FY26,Q1,Jun
"Everest",0.0176000000000000,FY26,Q1,Apr
"Everest",0.0168000000000000,FY26,Q1,May
"Everest",0.0160000000000000,FY26,Q1,Jun
"Expanse Electrical Company",0.00380000000000000,FY26,Q1,Apr
"Expanse Electrical Company",0.00380000000000000,FY26,Q1,May
"Expanse Electrical Company",0.00380000000000000,FY26,Q1,Jun
"Expedia",0,FY26,Q1,Apr
"Expedia",0,FY26,Q1,May
"Expedia",0,FY26,Q1,Jun
"EYGBS",0.0615000000000000,FY26,Q1,Apr
"EYGBS",0.0510000000000000,FY26,Q1,May
"EYGBS",0.0495000000000000,FY26,Q1,Jun
"Fair Price (NTUC)",0,FY26,Q1,Apr
"Fair Price (NTUC)",0,FY26,Q1,May
"Fair Price (NTUC)",0,FY26,Q1,Jun
"Fastener Distribution Holdings",0,FY26,Q1,Apr
"Fastener Distribution Holdings",0,FY26,Q1,May
"Fastener Distribution Holdings",0,FY26,Q1,Jun
"FDH Aero",0,FY26,Q1,Apr
"FDH Aero",0,FY26,Q1,May
"FDH Aero",0,FY26,Q1,Jun
"Federated Services",0,FY26,Q1,Apr
"Federated Services",0,FY26,Q1,May
"Federated Services",0,FY26,Q1,Jun
"Finlays",0.0290000000000000,FY26,Q1,Apr
"Finlays",0.0200000000000000,FY26,Q1,May
"Finlays",0.0200000000000000,FY26,Q1,Jun
"FJA",0.0330000000000000,FY26,Q1,Apr
"FJA",0.0400000000000000,FY26,Q1,May
"FJA",0.0400000000000000,FY26,Q1,Jun
"Fletcher",0.00990000000000000,FY26,Q1,Apr
"Fletcher",0.00200000000000000,FY26,Q1,May
"Fletcher",0.00200000000000000,FY26,Q1,Jun
"Fountain Tire",0,FY26,Q1,Apr
"Fountain Tire",0,FY26,Q1,May
"Fountain Tire",0.113000000000000,FY26,Q1,Jun
"Franklin Templeton",0,FY26,Q1,Apr
"Franklin Templeton",0,FY26,Q1,May
"Franklin Templeton",0,FY26,Q1,Jun
"Frazier Healthcare Partners",0.00630000000000000,FY26,Q1,Apr
"Frazier Healthcare Partners",0.00540000000000000,FY26,Q1,May
"Frazier Healthcare Partners",0.00430000000000000,FY26,Q1,Jun
"FUJIFILM Business Innovation (US)",0.0130000000000000,FY26,Q1,Apr
"FUJIFILM Business Innovation (US)",0.0130000000000000,FY26,Q1,May
"FUJIFILM Business Innovation (US)",0.0140000000000000,FY26,Q1,Jun
"Genesis Capital",0.0495000000000000,FY26,Q1,Apr
"Genesis Capital",0.0510000000000000,FY26,Q1,May
"Genesis Capital",0.0495000000000000,FY26,Q1,Jun
"Gilead Life Sciences",0,FY26,Q1,Apr
"Gilead Life Sciences",0,FY26,Q1,May
"Gilead Life Sciences",0,FY26,Q1,Jun
"Global Cloud Xchange",0.208000000000000,FY26,Q1,Apr
"Global Cloud Xchange",0.213000000000000,FY26,Q1,May
"Global Cloud Xchange",0.303000000000000,FY26,Q1,Jun
"Global Holdings LLC",0.150000000000000,FY26,Q1,Apr
"Global Holdings LLC",0.150000000000000,FY26,Q1,May
"Global Holdings LLC",0.100000000000000,FY26,Q1,Jun
"Goldbeck GmbH",0,FY26,Q1,Apr
"Goldbeck GmbH",0,FY26,Q1,May
"Goldbeck GmbH",0,FY26,Q1,Jun
"Golden Screen Cinema",0.00360000000000000,FY26,Q1,Apr
"Golden Screen Cinema",0.00370000000000000,FY26,Q1,May
"Golden Screen Cinema",0.00360000000000000,FY26,Q1,Jun
"Golden Spread Electric Cooperative",0.00500000000000000,FY26,Q1,Apr
"Golden Spread Electric Cooperative",0.00510000000000000,FY26,Q1,May
"Golden Spread Electric Cooperative",0.00500000000000000,FY26,Q1,Jun
"GPO Revenue",0,FY26,Q1,Apr
"GPO Revenue",0,FY26,Q1,May
"GPO Revenue",0.0156000000000000,FY26,Q1,Jun
"Grange Resources ",0,FY26,Q1,Apr
"Grange Resources ",0,FY26,Q1,May
"Grange Resources ",0,FY26,Q1,Jun
"Green Mountain",0.383333000000000,FY26,Q1,Apr
"Green Mountain",0.483333000000000,FY26,Q1,May
"Green Mountain",0.515334000000000,FY26,Q1,Jun
"GSMS",0.0396000000000000,FY26,Q1,Apr
"GSMS",0.0450000000000000,FY26,Q1,May
"GSMS",0.0400000000000000,FY26,Q1,Jun
"Guidehouse Inc.",0.0186251200000000,FY26,Q1,Apr
"Guidehouse Inc.",0.0201326400000000,FY26,Q1,May
"Guidehouse Inc.",0.0183024000000000,FY26,Q1,Jun
"Guitar Center ",0,FY26,Q1,Apr
"Guitar Center ",0,FY26,Q1,May
"Guitar Center ",0,FY26,Q1,Jun
"Harbour Guidance",0.0470000000000000,FY26,Q1,Apr
"Harbour Guidance",0.0221000000000000,FY26,Q1,May
"Harbour Guidance",0.0215000000000000,FY26,Q1,Jun
"Hastings Deering",0,FY26,Q1,Apr
"Hastings Deering",0,FY26,Q1,May
"Hastings Deering",0.628000000000000,FY26,Q1,Jun
"HCSC",0,FY26,Q1,Apr
"HCSC",0,FY26,Q1,May
"HCSC",0,FY26,Q1,Jun
"HDFC Limited",0.00330000000000000,FY26,Q1,Apr
"HDFC Limited",0.00340000000000000,FY26,Q1,May
"HDFC Limited",0.00330000000000000,FY26,Q1,Jun
"HealthTrackRx",0,FY26,Q1,Apr
"HealthTrackRx",0,FY26,Q1,May
"HealthTrackRx",0,FY26,Q1,Jun
"Hitachi",0,FY26,Q1,Apr
"Hitachi",0,FY26,Q1,May
"Hitachi",0,FY26,Q1,Jun
"Home Depot",0,FY26,Q1,Apr
"Home Depot",0.100000000000000,FY26,Q1,May
"Home Depot",0,FY26,Q1,Jun
"Honest Medical Group LLC",0.0410000000000000,FY26,Q1,Apr
"Honest Medical Group LLC",0.0590000000000000,FY26,Q1,May
"Honest Medical Group LLC",0.0450000000000000,FY26,Q1,Jun
"Hoya Vision",0.0450000000000000,FY26,Q1,Apr
"Hoya Vision",0.0450000000000000,FY26,Q1,May
"Hoya Vision",0.0450000000000000,FY26,Q1,Jun
"i2i Population health",0.0110565000000000,FY26,Q1,Apr
"i2i Population health",0.0115830000000000,FY26,Q1,May
"i2i Population health",0.0105300000000000,FY26,Q1,Jun
"IAC",0.00170000000000000,FY26,Q1,Apr
"IAC",0.00170000000000000,FY26,Q1,May
"IAC",0.00170000000000000,FY26,Q1,Jun
"ICICI Bank Ltd.",0.0900000000000000,FY26,Q1,Apr
"ICICI Bank Ltd.",0.0900000000000000,FY26,Q1,May
"ICICI Bank Ltd.",0.0900000000000000,FY26,Q1,Jun
"Idemitsu MS",0.0314000000000000,FY26,Q1,Apr
"Idemitsu MS",0.0323000000000000,FY26,Q1,May
"Idemitsu MS",0.0314000000000000,FY26,Q1,Jun
"Idemitsu VOC",0.0186000000000000,FY26,Q1,Apr
"Idemitsu VOC",0.0187000000000000,FY26,Q1,May
"Idemitsu VOC",0.0187000000000000,FY26,Q1,Jun
"IndoSpace Development Management Pvt. Ltd.",0,FY26,Q1,Apr
"IndoSpace Development Management Pvt. Ltd.",0,FY26,Q1,May
"IndoSpace Development Management Pvt. Ltd.",0,FY26,Q1,Jun
"Informatica India",0.100000000000000,FY26,Q1,Apr
"Informatica India",0.100000000000000,FY26,Q1,May
"Informatica India",0.0970000000000000,FY26,Q1,Jun
"Interdigital",0.0142500000000000,FY26,Q1,Apr
"Interdigital",0.0142500000000000,FY26,Q1,May
"Interdigital",0.0142500000000000,FY26,Q1,Jun
"ITS Logistics",0.230300000000000,FY26,Q1,Apr
"ITS Logistics",0.247700000000000,FY26,Q1,May
"ITS Logistics",0.242300000000000,FY26,Q1,Jun
"J & J",1.02000000000000,FY26,Q1,Apr
"J & J",1.06000000000000,FY26,Q1,May
"J & J",1.07000000000000,FY26,Q1,Jun
"J & J APAC",0,FY26,Q1,Apr
"J & J APAC",0,FY26,Q1,May
"J & J APAC",0,FY26,Q1,Jun
"Jiffy Lube",0.0563000000000000,FY26,Q1,Apr
"Jiffy Lube",0.0580000000000000,FY26,Q1,May
"Jiffy Lube",0.0563000000000000,FY26,Q1,Jun
"Jockey International",0.00990000000000000,FY26,Q1,Apr
"Jockey International",0.0102000000000000,FY26,Q1,May
"Jockey International",0.00990000000000000,FY26,Q1,Jun
"Jon Monroe Consulting",0.00330000000000000,FY26,Q1,Apr
"Jon Monroe Consulting",0.00340000000000000,FY26,Q1,May
"Jon Monroe Consulting",0.00330000000000000,FY26,Q1,Jun
"Kairos",0.669700000000000,FY26,Q1,Apr
"Kairos",0.690000000000000,FY26,Q1,May
"Kairos",0.669700000000000,FY26,Q1,Jun
"Kaiser Permanente",0,FY26,Q1,Apr
"Kaiser Permanente",0,FY26,Q1,May
"Kaiser Permanente",0,FY26,Q1,Jun
"Kent Water Sports",0,FY26,Q1,Apr
"Kent Water Sports",0,FY26,Q1,May
"Kent Water Sports",0,FY26,Q1,Jun
"Kenvue",0,FY26,Q1,Apr
"Kenvue",0,FY26,Q1,May
"Kenvue",0,FY26,Q1,Jun
"Kiosk Collective",0,FY26,Q1,Apr
"Kiosk Collective",0,FY26,Q1,May
"Kiosk Collective",0,FY26,Q1,Jun
"KLA Corporation",0.00640000000000000,FY26,Q1,Apr
"KLA Corporation",0.00660000000000000,FY26,Q1,May
"KLA Corporation",0.00640000000000000,FY26,Q1,Jun
"Kloud9",0.00300000000000000,FY26,Q1,Apr
"Kloud9",0.00300000000000000,FY26,Q1,May
"Kloud9",0.00310000000000000,FY26,Q1,Jun
"Komatsu Australia",0.0116000000000000,FY26,Q1,Apr
"Komatsu Australia",0.0119000000000000,FY26,Q1,May
"Komatsu Australia",0.0116000000000000,FY26,Q1,Jun
"Kura Sushi",0,FY26,Q1,Apr
"Kura Sushi",0,FY26,Q1,May
"Kura Sushi",0,FY26,Q1,Jun
"Kyndryl",0.0474000000000000,FY26,Q1,Apr
"Kyndryl",0.0488000000000000,FY26,Q1,May
"Kyndryl",0.0474000000000000,FY26,Q1,Jun
"Kyochon ",0,FY26,Q1,Apr
"Kyochon ",0,FY26,Q1,May
"Kyochon ",0,FY26,Q1,Jun
"Kyowa Kirin",0.115500000000000,FY26,Q1,Apr
"Kyowa Kirin",0.0500000000000000,FY26,Q1,May
"Kyowa Kirin",0.0500000000000000,FY26,Q1,Jun
"Leiters Enterprises",0.0119000000000000,FY26,Q1,Apr
"Leiters Enterprises",0.0122000000000000,FY26,Q1,May
"Leiters Enterprises",0.0119000000000000,FY26,Q1,Jun
"Lifescan",0.0149000000000000,FY26,Q1,Apr
"Lifescan",0.0200000000000000,FY26,Q1,May
"Lifescan",0.0180000000000000,FY26,Q1,Jun
"LIMN Labs",0,FY26,Q1,Apr
"LIMN Labs",0,FY26,Q1,May
"LIMN Labs",0,FY26,Q1,Jun
"LoanDepot",0.100000000000000,FY26,Q1,Apr
"LoanDepot",0.100000000000000,FY26,Q1,May
"LoanDepot",0.120000000000000,FY26,Q1,Jun
"Logitec",0.0442080000000000,FY26,Q1,Apr
"Logitec",0.0441381818181819,FY26,Q1,May
"Logitec",0.0433000000000000,FY26,Q1,Jun
"Lolli and Pops",0,FY26,Q1,Apr
"Lolli and Pops",0,FY26,Q1,May
"Lolli and Pops",0,FY26,Q1,Jun
"Louis Dreyfus",0.270000000000000,FY26,Q1,Apr
"Louis Dreyfus",0,FY26,Q1,May
"Louis Dreyfus",0,FY26,Q1,Jun
"Lowe’s Services",0.0152000000000000,FY26,Q1,Apr
"Lowe’s Services",0.0156000000000000,FY26,Q1,May
"Lowe’s Services",0.0152000000000000,FY26,Q1,Jun
"LVMH",0,FY26,Q1,Apr
"LVMH",0,FY26,Q1,May
"LVMH",0,FY26,Q1,Jun
"Mahindra & Mahindra FS",0,FY26,Q1,Apr
"Mahindra & Mahindra FS",0,FY26,Q1,May
"Mahindra & Mahindra FS",0.0100000000000000,FY26,Q1,Jun
"Mainstream Renewable Power",0.0142000000000000,FY26,Q1,Apr
"Mainstream Renewable Power",0.0146000000000000,FY26,Q1,May
"Mainstream Renewable Power",0.0142000000000000,FY26,Q1,Jun
"Marketforce",0.0500000000000000,FY26,Q1,Apr
"Marketforce",0.0500000000000000,FY26,Q1,May
"Marketforce",0.0500000000000000,FY26,Q1,Jun
"Matson Navigation Company",0.561000000000000,FY26,Q1,Apr
"Matson Navigation Company",0.578000000000000,FY26,Q1,May
"Matson Navigation Company",0.561000000000000,FY26,Q1,Jun
"Mattson Technology Inc",0.0419029500000000,FY26,Q1,Apr
"Mattson Technology Inc",0.0318141500000000,FY26,Q1,May
"Mattson Technology Inc",0.0391380000000000,FY26,Q1,Jun
"MCA Connect ",0.00700000000000000,FY26,Q1,Apr
"MCA Connect ",0.00700000000000000,FY26,Q1,May
"MCA Connect ",0.00700000000000000,FY26,Q1,Jun
"McDonalds MS",0.0302000000000000,FY26,Q1,Apr
