Customer,Total_Revenue,FinancialYear,Quarter,Month,BU,GM%
Computacenter India,0.021,FY26,Q1,May,UK IRELAND,0.3499809857428717
Computacenter India,0.027,FY26,Q1,Jun,UK IRELAND,0.3499809857428717
Computacenter UK,0.3,FY26,Q1,Apr,UK IRELAND,0.6188577075693462
Computacenter UK,0.235,FY26,Q1,May,UK IRELAND,0.6188577075693462
Computacenter UK,0.23,FY26,Q1,Jun,UK IRELAND,0.6188577075693462
Conde Nast,0.0,FY26,Q1,Apr,,
Conde Nast,0.0,FY26,Q1,May,,
Conde Nast,0.0,FY26,Q1,Jun,,
Cornerstone on Demand,0.113184,FY26,Q1,Apr,US TMTE,0.4462075833333334
Cornerstone on Demand,0.1346692,FY26,Q1,May,US TMTE,0.4462075833333334
Cornerstone on Demand,0.105084,FY26,Q1,Jun,US TMTE,0.4462075833333334
Correct Care Solutions,0.646,FY26,Q1,Apr,US HLS,0.46738715074626874
Correct Care Solutions,0.656,FY26,Q1,May,US HLS,0.46738715074626874
Correct Care Solutions,0.656,FY26,Q1,Jun,US HLS,0.46738715074626874
Coyuchi,0.0043,FY26,Q1,Apr,,
Coyuchi,0.0044,FY26,Q1,May,,
Coyuchi,0.0043,FY26,Q1,Jun,,
CPL Aromas,0.442,FY26,Q1,Apr,UK IRELAND,0.5247071072056009
CPL Aromas,0.08,FY26,Q1,May,UK IRELAND,0.5247071072056009
CPL Aromas,0.07,FY26,Q1,Jun,UK IRELAND,0.5247071072056009
CPS Solutions,0.5692,FY26,Q1,Apr,US HLS,0.30087097014925374
CPS Solutions,0.5116,FY26,Q1,May,US HLS,0.30087097014925374
CPS Solutions,0.5192,FY26,Q1,Jun,US HLS,0.30087097014925374
Crowley,0.0,FY26,Q1,Apr,,
Crowley,0.0,FY26,Q1,May,,
Crowley,0.0,FY26,Q1,Jun,,
Crunchyroll,0.0066,FY26,Q1,Apr,,
Crunchyroll,0.0068,FY26,Q1,May,,
Crunchyroll,0.0066,FY26,Q1,Jun,,
CSL Behring,0.005,FY26,Q1,Apr,US HLS,0.602294
CSL Behring,0.0051,FY26,Q1,May,US HLS,0.602294
CSL Behring,0.005,FY26,Q1,Jun,US HLS,0.602294
CVS,0.0,FY26,Q1,Apr,,
CVS,0.0,FY26,Q1,May,,
CVS,0.0,FY26,Q1,Jun,,
Daltron,0.06,FY26,Q1,Apr,ANZ,0.42929428424254634
Daltron,0.0,FY26,Q1,May,ANZ,0.42929428424254634
Daltron,0.0,FY26,Q1,Jun,ANZ,0.42929428424254634
Danish Agro,0.1149,FY26,Q1,Apr,EU,0.7074660384615384
Danish Agro,0.0122,FY26,Q1,May,EU,0.7074660384615384
Danish Agro,0.0119,FY26,Q1,Jun,EU,0.7074660384615384
Deaf Services Queensland,0.0282,FY26,Q1,Apr,ANZ,0.3228731334401369
Deaf Services Queensland,0.0,FY26,Q1,May,ANZ,0.3228731334401369
Deaf Services Queensland,0.0,FY26,Q1,Jun,ANZ,0.3228731334401369
Dell - India,0.03,FY26,Q1,Apr,APAC,0.0
Dell - India,0.02,FY26,Q1,May,APAC,0.0
Dell - India,0.03,FY26,Q1,Jun,APAC,0.0
Dentsu,0.0,FY26,Q1,Apr,US RMD,0.4999853839873553
Dentsu,0.0,FY26,Q1,May,US RMD,0.4999853839873553
Dentsu,0.0,FY26,Q1,Jun,US RMD,0.4999853839873553
Deutsche Telekom,0.0413,FY26,Q1,Apr,EU,0.5695269180792757
Deutsche Telekom,0.0425,FY26,Q1,May,EU,0.5695269180792757
Deutsche Telekom,0.0488,FY26,Q1,Jun,EU,0.5695269180792757
DISA,0.0024,FY26,Q1,Apr,,
DISA,0.0025,FY26,Q1,May,,
DISA,0.0024,FY26,Q1,Jun,,
DMI,0.005,FY26,Q1,Apr,US HLS,0.0
DMI,0.0051,FY26,Q1,May,US HLS,0.0
DMI,0.005,FY26,Q1,Jun,US HLS,0.0
Dominos Pizza,0.637,FY26,Q1,Apr,UK IRELAND,0.7148242638900822
Dominos Pizza,0.0,FY26,Q1,May,UK IRELAND,0.7148242638900822
Dominos Pizza,0.0,FY26,Q1,Jun,UK IRELAND,0.7148242638900822
Dynamic Fit Alliance Automation,0.0,FY26,Q1,Apr,,
Dynamic Fit Alliance Automation,0.0,FY26,Q1,May,,
Dynamic Fit Alliance Automation,0.0,FY26,Q1,Jun,,
EBOS Group,0.015,FY26,Q1,Apr,,
EBOS Group,0.0,FY26,Q1,May,,
EBOS Group,0.0,FY26,Q1,Jun,,
Edison Energy,0.0,FY26,Q1,Apr,US TMTE,0.0
Edison Energy,0.0,FY26,Q1,May,US TMTE,0.0
Edison Energy,0.0,FY26,Q1,Jun,US TMTE,0.0
Elevance health,0.033,FY26,Q1,Apr,US HLS,0.48216018
Elevance health,0.034,FY26,Q1,May,US HLS,0.48216018
Elevance health,0.033,FY26,Q1,Jun,US HLS,0.48216018
Elevate,0.0,FY26,Q1,Apr,US HLS,0.0
Elevate,0.0,FY26,Q1,May,US HLS,0.0
Elevate,0.0,FY26,Q1,Jun,US HLS,0.0
Endeavor Group,0.0,FY26,Q1,Apr,,
Endeavor Group,0.0,FY26,Q1,May,,
Endeavor Group,0.0,FY26,Q1,Jun,,
ENGEN Africa,0.0132,FY26,Q1,Apr,,
ENGEN Africa,0.0136,FY26,Q1,May,,
ENGEN Africa,0.0132,FY26,Q1,Jun,,
ENOVIX CORPORATION,0.00375,FY26,Q1,Apr,,
ENOVIX CORPORATION,0.00375,FY26,Q1,May,,
ENOVIX CORPORATION,0.00375,FY26,Q1,Jun,,
Enviva,0.0,FY26,Q1,Apr,,
Enviva,0.0,FY26,Q1,May,,
Enviva,0.0,FY26,Q1,Jun,,
Epicor,0.204971428571429,FY26,Q1,Apr,US TMTE,0.46563889558704397
Epicor,0.210796948051948,FY26,Q1,May,US TMTE,0.46563889558704397
Epicor,0.15544,FY26,Q1,Jun,US TMTE,0.46563889558704397
ETrawler,0.0768,FY26,Q1,Apr,,
ETrawler,0.0024,FY26,Q1,May,,
ETrawler,0.0023,FY26,Q1,Jun,,
Everest,0.0176,FY26,Q1,Apr,,
Everest,0.0168,FY26,Q1,May,,
Everest,0.016,FY26,Q1,Jun,,
Expanse Electrical Company,0.0038,FY26,Q1,Apr,,
Expanse Electrical Company,0.0038,FY26,Q1,May,,
Expanse Electrical Company,0.0038,FY26,Q1,Jun,,
Expedia,0.0,FY26,Q1,Apr,,
Expedia,0.0,FY26,Q1,May,,
Expedia,0.0,FY26,Q1,Jun,,
EYGBS,0.0615,FY26,Q1,Apr,,
EYGBS,0.051,FY26,Q1,May,,
EYGBS,0.0495,FY26,Q1,Jun,,
Fair Price (NTUC),0.0,FY26,Q1,Apr,,
Fair Price (NTUC),0.0,FY26,Q1,May,,
Fair Price (NTUC),0.0,FY26,Q1,Jun,,
Fastener Distribution Holdings,0.0,FY26,Q1,Apr,,
Fastener Distribution Holdings,0.0,FY26,Q1,May,,
Fastener Distribution Holdings,0.0,FY26,Q1,Jun,,
FDH Aero,0.0,FY26,Q1,Apr,,
FDH Aero,0.0,FY26,Q1,May,,
FDH Aero,0.0,FY26,Q1,Jun,,
Federated Services,0.0,FY26,Q1,Apr,,
Federated Services,0.0,FY26,Q1,May,,
Federated Services,0.0,FY26,Q1,Jun,,
Finlays,0.029,FY26,Q1,Apr,UK IRELAND,0.5
Finlays,0.02,FY26,Q1,May,UK IRELAND,0.5
Finlays,0.02,FY26,Q1,Jun,UK IRELAND,0.5
FJA,0.033,FY26,Q1,Apr,,
FJA,0.04,FY26,Q1,May,,
FJA,0.04,FY26,Q1,Jun,,
Fletcher,0.0099,FY26,Q1,Apr,,
Fletcher,0.002,FY26,Q1,May,,
Fletcher,0.002,FY26,Q1,Jun,,
Fountain Tire,0.0,FY26,Q1,Apr,US RMD,0.20570908
Fountain Tire,0.0,FY26,Q1,May,US RMD,0.20570908
Fountain Tire,0.113,FY26,Q1,Jun,US RMD,0.20570908
Franklin Templeton,0.0,FY26,Q1,Apr,US BFSI,0.0
Franklin Templeton,0.0,FY26,Q1,May,US BFSI,0.0
Franklin Templeton,0.0,FY26,Q1,Jun,US BFSI,0.0
Frazier Healthcare Partners,0.0063,FY26,Q1,Apr,US HLS,0.33970907692307695
Frazier Healthcare Partners,0.0054,FY26,Q1,May,US HLS,0.33970907692307695
Frazier Healthcare Partners,0.0043,FY26,Q1,Jun,US HLS,0.33970907692307695
FUJIFILM Business Innovation (US),0.013,FY26,Q1,Apr,US RMD,0.7140482
FUJIFILM Business Innovation (US),0.013,FY26,Q1,May,US RMD,0.7140482
FUJIFILM Business Innovation (US),0.014,FY26,Q1,Jun,US RMD,0.7140482
Genesis Capital,0.0495,FY26,Q1,Apr,US BFSI,0.6546536333333334
Genesis Capital,0.051,FY26,Q1,May,US BFSI,0.6546536333333334
Genesis Capital,0.0495,FY26,Q1,Jun,US BFSI,0.6546536333333334
Gilead Life Sciences,0.0,FY26,Q1,Apr,US HLS,0.0
Gilead Life Sciences,0.0,FY26,Q1,May,US HLS,0.0
Gilead Life Sciences,0.0,FY26,Q1,Jun,US HLS,0.0
Global Cloud Xchange,0.208,FY26,Q1,Apr,UK IRELAND,0.5623144425133689
Global Cloud Xchange,0.213,FY26,Q1,May,UK IRELAND,0.5623144425133689
Global Cloud Xchange,0.303,FY26,Q1,Jun,UK IRELAND,0.5623144425133689
Global Holdings LLC,0.15,FY26,Q1,Apr,US BFSI,0.297068253030303
Global Holdings LLC,0.15,FY26,Q1,May,US BFSI,0.297068253030303
Global Holdings LLC,0.1,FY26,Q1,Jun,US BFSI,0.297068253030303
Goldbeck GmbH,0.0,FY26,Q1,Apr,,
Goldbeck GmbH,0.0,FY26,Q1,May,,
Goldbeck GmbH,0.0,FY26,Q1,Jun,,
Golden Screen Cinema,0.0036,FY26,Q1,Apr,,
Golden Screen Cinema,0.0037,FY26,Q1,May,,
Golden Screen Cinema,0.0036,FY26,Q1,Jun,,
Golden Spread Electric Cooperative,0.005,FY26,Q1,Apr,US TMTE,0.5016606321363561
Golden Spread Electric Cooperative,0.0051,FY26,Q1,May,US TMTE,0.5016606321363561
Golden Spread Electric Cooperative,0.005,FY26,Q1,Jun,US TMTE,0.5016606321363561
GPO Revenue,0.0,FY26,Q1,Apr,GPO,0.0
GPO Revenue,0.0,FY26,Q1,May,GPO,0.0
GPO Revenue,0.0156,FY26,Q1,Jun,GPO,0.0
Grange Resources ,0.0,FY26,Q1,Apr,,
Grange Resources ,0.0,FY26,Q1,May,,
Grange Resources ,0.0,FY26,Q1,Jun,,
Green Mountain,0.383333,FY26,Q1,Apr,US TMTE,0.46437347363636355
Green Mountain,0.483333,FY26,Q1,May,US TMTE,0.46437347363636355
Green Mountain,0.515334,FY26,Q1,Jun,US TMTE,0.46437347363636355
GSMS,0.0396,FY26,Q1,Apr,US HLS,0.48753555652173913
GSMS,0.045,FY26,Q1,May,US HLS,0.48753555652173913
GSMS,0.04,FY26,Q1,Jun,US HLS,0.48753555652173913
Guidehouse Inc.,0.01862512,FY26,Q1,Apr,,
Guidehouse Inc.,0.02013264,FY26,Q1,May,,
Guidehouse Inc.,0.0183024,FY26,Q1,Jun,,
Guitar Center ,0.0,FY26,Q1,Apr,US RMD,0.0
Guitar Center ,0.0,FY26,Q1,May,US RMD,0.0
Guitar Center ,0.0,FY26,Q1,Jun,US RMD,0.0
Harbour Guidance,0.047,FY26,Q1,Apr,ANZ,0.38298852384186255
Harbour Guidance,0.0221,FY26,Q1,May,ANZ,0.38298852384186255
Harbour Guidance,0.0215,FY26,Q1,Jun,ANZ,0.38298852384186255
Hastings Deering,0.0,FY26,Q1,Apr,ANZ,0.5672931870821938
Hastings Deering,0.0,FY26,Q1,May,ANZ,0.5672931870821938
Hastings Deering,0.628,FY26,Q1,Jun,ANZ,0.5672931870821938
HCSC,0.0,FY26,Q1,Apr,US HLS,0.0
HCSC,0.0,FY26,Q1,May,US HLS,0.0
HCSC,0.0,FY26,Q1,Jun,US HLS,0.0
HDFC Limited,0.0033,FY26,Q1,Apr,US BFSI,0.5379864785013705
HDFC Limited,0.0034,FY26,Q1,May,US BFSI,0.5379864785013705
HDFC Limited,0.0033,FY26,Q1,Jun,US BFSI,0.5379864785013705
HealthTrackRx,0.0,FY26,Q1,Apr,US HLS,0.0
HealthTrackRx,0.0,FY26,Q1,May,US HLS,0.0
HealthTrackRx,0.0,FY26,Q1,Jun,US HLS,0.0
Hitachi,0.0,FY26,Q1,Apr,,
Hitachi,0.0,FY26,Q1,May,,
Hitachi,0.0,FY26,Q1,Jun,,
Home Depot,0.0,FY26,Q1,Apr,US RMD,0.4931674184615385
Home Depot,0.1,FY26,Q1,May,US RMD,0.4931674184615385
Home Depot,0.0,FY26,Q1,Jun,US RMD,0.4931674184615385
Honest Medical Group LLC,0.041,FY26,Q1,Apr,US HLS,0.42545050526315786
Honest Medical Group LLC,0.059,FY26,Q1,May,US HLS,0.42545050526315786
Honest Medical Group LLC,0.045,FY26,Q1,Jun,US HLS,0.42545050526315786
Hoya Vision,0.045,FY26,Q1,Apr,,
Hoya Vision,0.045,FY26,Q1,May,,
Hoya Vision,0.045,FY26,Q1,Jun,,
i2i Population health,0.0110565,FY26,Q1,Apr,US TMTE,0.5336484952217944
i2i Population health,0.011583,FY26,Q1,May,US TMTE,0.5336484952217944
i2i Population health,0.01053,FY26,Q1,Jun,US TMTE,0.5336484952217944
IAC,0.0017,FY26,Q1,Apr,,
IAC,0.0017,FY26,Q1,May,,
IAC,0.0017,FY26,Q1,Jun,,
ICICI Bank Ltd.,0.09,FY26,Q1,Apr,US BFSI,0.5099856663344345
ICICI Bank Ltd.,0.09,FY26,Q1,May,US BFSI,0.5099856663344345
ICICI Bank Ltd.,0.09,FY26,Q1,Jun,US BFSI,0.5099856663344345
Idemitsu MS,0.0314,FY26,Q1,Apr,,
Idemitsu MS,0.0323,FY26,Q1,May,,
Idemitsu MS,0.0314,FY26,Q1,Jun,,
Idemitsu VOC,0.0186,FY26,Q1,Apr,,
Idemitsu VOC,0.0187,FY26,Q1,May,,
Idemitsu VOC,0.0187,FY26,Q1,Jun,,
IndoSpace Development Management Pvt. Ltd.,0.0,FY26,Q1,Apr,,
IndoSpace Development Management Pvt. Ltd.,0.0,FY26,Q1,May,,
IndoSpace Development Management Pvt. Ltd.,0.0,FY26,Q1,Jun,,
Informatica India,0.1,FY26,Q1,Apr,US TMTE,0.29997952196922456
Informatica India,0.1,FY26,Q1,May,US TMTE,0.29997952196922456
Informatica India,0.097,FY26,Q1,Jun,US TMTE,0.29997952196922456
Interdigital,0.01425,FY26,Q1,Apr,,
Interdigital,0.01425,FY26,Q1,May,,
Interdigital,0.01425,FY26,Q1,Jun,,
ITS Logistics,0.2303,FY26,Q1,Apr,US RMD,0.46294437368421054
ITS Logistics,0.2477,FY26,Q1,May,US RMD,0.46294437368421054
ITS Logistics,0.2423,FY26,Q1,Jun,US RMD,0.46294437368421054
J & J,1.02,FY26,Q1,Apr,US HLS,0.4767140393939394
J & J,1.06,FY26,Q1,May,US HLS,0.4767140393939394
J & J,1.07,FY26,Q1,Jun,US HLS,0.4767140393939394
J & J APAC,0.0,FY26,Q1,Apr,,
J & J APAC,0.0,FY26,Q1,May,,
J & J APAC,0.0,FY26,Q1,Jun,,
Jiffy Lube,0.0563,FY26,Q1,Apr,,
Jiffy Lube,0.058,FY26,Q1,May,,
Jiffy Lube,0.0563,FY26,Q1,Jun,,
Jockey International,0.0099,FY26,Q1,Apr,US RMD,0.0
Jockey International,0.0102,FY26,Q1,May,US RMD,0.0
Jockey International,0.0099,FY26,Q1,Jun,US RMD,0.0
Jon Monroe Consulting,0.0033,FY26,Q1,Apr,US RMD,0.5274041
Jon Monroe Consulting,0.0034,FY26,Q1,May,US RMD,0.5274041
Jon Monroe Consulting,0.0033,FY26,Q1,Jun,US RMD,0.5274041
Kairos,0.6697,FY26,Q1,Apr,,
Kairos,0.69,FY26,Q1,May,,
Kairos,0.6697,FY26,Q1,Jun,,
Kaiser Permanente,0.0,FY26,Q1,Apr,US HLS,0.0
